slug,name,country,lat_long,preview_image,created_at,updated_at,country_code,state_code,state,description_short,description_long,population
berlin,Berlin,Germany,"52.5200,13.4050",https://arbeits-cafe.b-cdn.net/cities/berlin-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-16 19:49:58.674025+00,DE,BE,Berlin,"Berlin ist ein Zentrum für Startups und digitale Nomaden, ideal für arbeitsfreundliche Cafés.","Berlin, die Hauptstadt Deutschlands, ist bekannt für ihre lebendige Kultur, Geschichte und dynamische Tech-Szene. Die Stadt zieht Startups und digitale Nomaden an und bietet eine Vielzahl von Coworking-Spaces und Cafés, die auf Remote-Arbeiter ausgerichtet sind. Mit ihren vielfältigen Stadtteilen bietet Berlin eine einzigartige Mischung aus Kreativität und Innovation, was es zu einem attraktiven Ziel für Fachleute macht, die Inspiration und Zusammenarbeit suchen. Die reiche Geschichte der Stadt, gepaart mit ihrer modernen Infrastruktur, schafft eine Umgebung, in der Tradition auf Innovation trifft, was Berlin zu einem besonderen Ort zum Arbeiten und Gedeihen macht.",3782202,18
bielefeld,Bielefeld,Germany,"52.0302,8.5325",https://arbeits-cafe.b-cdn.net/cities/bielefeld-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:03:17.327226+00,DE,NW,Nordrhein-Westfalen,Bielefelds Tech-Szene und kulturelle Attraktionen bieten dynamische Arbeitsräume.,"Bielefeld, im Herzen des Teutoburger Waldes gelegen, ist bekannt für seine florierende Tech-Szene und lebendigen kulturellen Attraktionen. Die zahlreichen Tech-Unternehmen und kulturellen Veranstaltungsorte der Stadt ziehen Fachleute an, die Innovation und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Bielefeld bieten eine dynamische Umgebung für Remote-Arbeit, während die kulturellen Veranstaltungen und Grünflächen Möglichkeiten für Freizeit und Networking bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",338410,0
bochum,Bochum,Germany,"51.4818,7.2162",https://arbeits-cafe.b-cdn.net/cities/bochum-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:03:11.537561+00,DE,NW,Nordrhein-Westfalen,Bochums Tech-Szene und kulturelle Attraktionen bieten dynamische Arbeitsräume.,"Bochum, im Ruhrgebiet gelegen, ist bekannt für seine florierende Tech-Szene und lebendigen kulturellen Attraktionen. Die zahlreichen Tech-Unternehmen und kulturellen Veranstaltungsorte der Stadt ziehen Fachleute an, die Innovation und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Bochum bieten eine dynamische Umgebung für Remote-Arbeit, während die kulturellen Veranstaltungen und Grünflächen Möglichkeiten für Freizeit und Networking bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",366385,0
bonn,Bonn,Germany,"50.7374,7.0982",https://arbeits-cafe.b-cdn.net/cities/bonn-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:03:04.709555+00,DE,NW,Nordrhein-Westfalen,Bonns reiche Geschichte und kulturelle Attraktionen bieten inspirierende Arbeitsräume.,"Bonn, bekannt für seine reiche Geschichte und lebendige Kulturszene, ist eine Stadt, die Tradition mit Moderne verbindet. Die zahlreichen kulturellen Attraktionen und historischen Wahrzeichen der Stadt ziehen Fachleute an, die Inspiration und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Bonn bieten eine produktive Umgebung für Remote-Arbeit, während die kulturellen Veranstaltungen und Grünflächen eine entspannende Kulisse bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",335789,0
bremen,Bremen,Germany,"53.0793,8.8017",https://arbeits-cafe.b-cdn.net/cities/bremen-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:58.628057+00,DE,HB,Bremen,Bremens maritimer Charme und kreative Räume ziehen Freiberufler an.,"Bremen, eine historische Hafenstadt, ist bekannt für ihren maritimen Charme und ihre lebendige Kulturszene. Die zahlreichen Theater, Museen und Musikveranstaltungen der Stadt ziehen Kreative und Freiberufler aus der ganzen Welt an. Die Cafés und Coworking-Spaces in Bremen bieten eine förderliche Umgebung für Remote-Arbeit, während die malerische Uferpromenade und die Grünflächen eine entspannende Kulisse bieten. Die Mischung aus Tradition und Innovation macht die Stadt zu einem einzigartigen Ort zum Leben und Arbeiten und bietet Möglichkeiten für Networking und Zusammenarbeit in einem dynamischen Umfeld.",577026,0
dortmund,Dortmund,Germany,"51.5136,7.4653",https://arbeits-cafe.b-cdn.net/cities/dortmund-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:52.340887+00,DE,NW,Nordrhein-Westfalen,Dortmunds Tech-Industrie und Sportkultur bieten dynamische Arbeitsräume.,"Dortmund, im Ruhrgebiet gelegen, ist bekannt für seine florierende Tech-Industrie und leidenschaftliche Sportkultur. Die zahlreichen Tech-Unternehmen und Startups der Stadt ziehen Fachleute an, die Innovation und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Dortmund bieten eine dynamische Umgebung für Remote-Arbeit, während die Sportstätten und kulturellen Attraktionen Möglichkeiten für Freizeit und Networking bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",595471,0
dresden,Dresden,Germany,"51.0504,13.7373",https://arbeits-cafe.b-cdn.net/cities/dresden-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:46.157605+00,DE,SN,Sachsen,Dresdens barocke Architektur und Tech-Szene bieten inspirierende Arbeitsräume.,"Dresden, bekannt für seine atemberaubende barocke Architektur und florierende Tech-Szene, ist eine Stadt, die Geschichte mit Innovation verbindet. Die zahlreichen kulturellen Attraktionen und Tech-Unternehmen der Stadt ziehen Fachleute an, die Inspiration und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Dresden bieten eine produktive Umgebung für Remote-Arbeit, während die historischen Wahrzeichen und Grünflächen eine entspannende Kulisse bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",566222,0
duesseldorf,Düsseldorf,Germany,"51.2277,6.7735",https://arbeits-cafe.b-cdn.net/cities/dusseldorf-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-16 19:49:58.936043+00,DE,NW,Nordrhein-Westfalen,Düsseldorfs Mode- und Kunstszene bieten inspirierende Arbeitsräume.,"Düsseldorf, bekannt für seine Mode- und Kunstszene, ist eine Stadt, die Kreativität mit Geschäft verbindet. Die zahlreichen Galerien, Museen und Modeveranstaltungen der Stadt ziehen Fachleute aus der ganzen Welt an. Die Cafés und Coworking-Spaces in Düsseldorf bieten eine förderliche Umgebung für Remote-Arbeit, während die lebendige Kulturszene Möglichkeiten für Networking und Zusammenarbeit bietet. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",631217,24
duisburg,Duisburg,Germany,"51.4344,6.7623",https://arbeits-cafe.b-cdn.net/cities/duisburg-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:40.006287+00,DE,NW,Nordrhein-Westfalen,Duisburgs industrielles Erbe und Grünflächen ziehen Remote-Arbeiter an.,"Duisburg, im Herzen des Ruhrgebiets gelegen, ist bekannt für sein industrielles Erbe und seine Grünflächen. Die zahlreichen Parks und kulturellen Attraktionen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Das reiche kulturelle Erbe und die moderne Infrastruktur Duisburgs schaffen eine einzigartige Mischung aus Tradition und Innovation, was die Stadt zu einem attraktiven Ziel für Arbeit und Freizeit macht.",503707,0
essen,Essen,Germany,"51.4556,7.0116",https://arbeits-cafe.b-cdn.net/cities/essen-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:33.732796+00,DE,NW,Nordrhein-Westfalen,Essens industrielles Erbe und Grünflächen ziehen Remote-Arbeiter an.,"Essen, im Herzen des Ruhrgebiets gelegen, ist bekannt für sein industrielles Erbe und seine Grünflächen. Die zahlreichen Parks und kulturellen Attraktionen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Das reiche kulturelle Erbe und die moderne Infrastruktur Essens schaffen eine einzigartige Mischung aus Tradition und Innovation, was die Stadt zu einem attraktiven Ziel für Arbeit und Freizeit macht.",586608,0
