name_en,state,country,population,slug,name_de,country_code,state_code,description_short_en,description_long_en
New York City,New York,United States,8804190,new-york-city,New York City,US,NY,"New York City is a bustling metropolis known for its iconic skyline and vibrant culture.","New York City, often called the Big Apple, is a global hub for finance, culture, and entertainment. It offers a diverse range of coworking spaces and cafes ideal for remote work."
Los Angeles,California,United States,3898747,los-angeles,Los Angeles,US,CA,"Los Angeles is famous for its entertainment industry and sunny weather.","Los Angeles, the entertainment capital of the world, is known for its film and television industry. The city offers numerous cafes and coworking spaces perfect for digital nomads."
Chicago,Illinois,United States,2746388,chicago,Chicago,US,IL,"Chicago is known for its architectural marvels and vibrant arts scene.","Chicago, the Windy City, is renowned for its stunning architecture and rich cultural heritage. It provides a variety of coworking spaces and cafes for remote workers."
Houston,Texas,United States,2304580,houston,Houston,US,TX,"Houston is a major city in Texas known for its space exploration and energy industry.","Houston, a sprawling metropolis in Texas, is famous for its contributions to space exploration and the energy sector. The city offers a range of coworking spaces and cafes for professionals."
Phoenix,Arizona,United States,1608139,phoenix,Phoenix,US,AZ,"Phoenix is known for its desert landscape and warm climate.","Phoenix, the capital of Arizona, is known for its desert scenery and sunny weather. It has a growing number of coworking spaces and cafes for remote workers."
Philadelphia,Pennsylvania,United States,1603797,philadelphia,Philadelphia,US,PA,"Philadelphia is rich in history and culture.","Philadelphia, known as the City of Brotherly Love, is steeped in American history and culture. It offers a variety of coworking spaces and cafes for digital nomads."
San Antonio,Texas,United States,1434625,san-antonio,San Antonio,US,TX,"San Antonio is famous for its historic sites and vibrant culture.","San Antonio, home to the Alamo, is known for its rich history and vibrant cultural scene. The city provides numerous coworking spaces and cafes for remote work."
San Diego,California,United States,1386932,san-diego,San Diego,US,CA,"San Diego is known for its beautiful beaches and pleasant climate.","San Diego, a coastal city in California, is famous for its stunning beaches and mild climate. It offers a variety of coworking spaces and cafes for digital nomads."
Dallas,Texas,United States,1304379,dallas,Dallas,US,TX,"Dallas is a major city in Texas known for its modern architecture and cultural attractions.","Dallas, a bustling city in Texas, is known for its modern skyline and cultural attractions. It provides a range of coworking spaces and cafes for professionals."
San José,California,United States,1013240,san-jose,San José,US,CA,"San José is a major tech hub in Silicon Valley.","San José, located in the heart of Silicon Valley, is a major technology hub. The city offers numerous coworking spaces and cafes ideal for tech professionals and digital nomads."
Austin,Texas,United States,961855,austin,Austin,US,TX,"Austin is known for its live music scene and vibrant culture.","Austin, the capital of Texas, is famous for its live music scene and vibrant cultural life. It offers a variety of coworking spaces and cafes for remote workers."
Jacksonville,Florida,United States,949611,jacksonville,Jacksonville,US,FL,"Jacksonville is known for its extensive park system and beautiful beaches.","Jacksonville, a city in Florida, is known for its extensive park system and beautiful beaches. It provides a range of coworking spaces and cafes for digital nomads."
Fort Worth,Texas,United States,918915,fort-worth,Fort Worth,US,TX,"Fort Worth is known for its cowboy culture and rich history.","Fort Worth, a city in Texas, is known for its cowboy culture and rich history. It offers a variety of coworking spaces and cafes for remote workers."
Columbus,Ohio,United States,905748,columbus,Columbus,US,OH,"Columbus is known for its diverse economy and vibrant arts scene.","Columbus, the capital of Ohio, is known for its diverse economy and vibrant arts scene. It provides numerous coworking spaces and cafes for professionals."
Indianapolis,Indiana,United States,887642,indianapolis,Indianapolis,US,IN,"Indianapolis is known for its sports events and cultural attractions.","Indianapolis, the capital of Indiana, is known for its sports events and cultural attractions. The city offers a variety of coworking spaces and cafes for digital nomads."
Charlotte,North Carolina,United States,874579,charlotte,Charlotte,US,NC,"Charlotte is a major financial hub in the United States.","Charlotte, a city in North Carolina, is a major financial hub in the United States. It provides numerous coworking spaces and cafes for professionals."
San Francisco,California,United States,873965,san-francisco,San Francisco,US,CA,"San Francisco is known for its iconic landmarks and tech industry.","San Francisco, a city in California, is known for its iconic landmarks and thriving tech industry. It offers a variety of coworking spaces and cafes for digital nomads."
Seattle,Washington,United States,737015,seattle,Seattle,US,WA,"Seattle is known for its coffee culture and tech industry.","Seattle, a city in Washington, is known for its coffee culture and thriving tech industry. It provides numerous coworking spaces and cafes for remote workers."
Denver,Colorado,United States,715522,denver,Denver,US,CO,"Denver is known for its outdoor activities and vibrant culture.","Denver, the capital of Colorado, is known for its outdoor activities and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
"Washington, D.C.",District of Columbia,United States,689545,washington-dc,"Washington, D.C.",US,DC,"Washington, D.C. is the capital of the United States, known for its historic landmarks.","Washington, D.C., the capital of the United States, is known for its historic landmarks and political significance. It provides numerous coworking spaces and cafes for professionals."
Nashville,Tennessee,United States,689447,nashville,Nashville,US,TN,"Nashville is known for its country music scene and vibrant culture.","Nashville, the capital of Tennessee, is known for its country music scene and vibrant cultural life. It offers a variety of coworking spaces and cafes for remote workers."
Oklahoma City,Oklahoma,United States,681054,oklahoma-city,Oklahoma City,US,OK,"Oklahoma City is known for its cowboy culture and rich history.","Oklahoma City, the capital of Oklahoma, is known for its cowboy culture and rich history. It provides numerous coworking spaces and cafes for professionals."
El Paso,Texas,United States,678815,el-paso,El Paso,US,TX,"El Paso is known for its rich cultural heritage and vibrant arts scene.","El Paso, a city in Texas, is known for its rich cultural heritage and vibrant arts scene. It offers a variety of coworking spaces and cafes for digital nomads."
Boston,Massachusetts,United States,675647,boston,Boston,US,MA,"Boston is known for its historic landmarks and vibrant culture.","Boston, the capital of Massachusetts, is known for its historic landmarks and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
Portland,Oregon,United States,652503,portland,Portland,US,OR,"Portland is known for its coffee culture and vibrant arts scene.","Portland, a city in Oregon, is known for its coffee culture and vibrant arts scene. It offers a variety of coworking spaces and cafes for digital nomads."
Las Vegas,Nevada,United States,641903,las-vegas,Las Vegas,US,NV,"Las Vegas is known for its entertainment industry and vibrant nightlife.","Las Vegas, a city in Nevada, is known for its entertainment industry and vibrant nightlife. It provides numerous coworking spaces and cafes for professionals."
Detroit,Michigan,United States,639111,detroit,Detroit,US,MI,"Detroit is known for its automotive industry and rich cultural heritage.","Detroit, a city in Michigan, is known for its automotive industry and rich cultural heritage. It offers a variety of coworking spaces and cafes for digital nomads."
Memphis,Tennessee,United States,633104,memphis,Memphis,US,TN,"Memphis is known for its music scene and vibrant culture.","Memphis, a city in Tennessee, is known for its music scene and vibrant cultural life. It provides numerous coworking spaces and cafes for remote workers."
Louisville,Kentucky,United States,633045,louisville,Louisville,US,KY,"Louisville is known for its horse racing and vibrant culture.","Louisville, a city in Kentucky, is known for its horse racing and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Baltimore,Maryland,United States,585708,baltimore,Baltimore,US,MD,"Baltimore is known for its historic landmarks and vibrant culture.","Baltimore, a city in Maryland, is known for its historic landmarks and vibrant cultural scene. It provides numerous coworking spaces and cafes for professionals."
Milwaukee,Wisconsin,United States,577222,milwaukee,Milwaukee,US,WI,"Milwaukee is known for its brewing industry and vibrant culture.","Milwaukee, a city in Wisconsin, is known for its brewing industry and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Albuquerque,New Mexico,United States,564559,albuquerque,Albuquerque,US,NM,"Albuquerque is known for its desert landscape and vibrant culture.","Albuquerque, a city in New Mexico, is known for its desert landscape and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
Tucson,Arizona,United States,542629,tucson,Tucson,US,AZ,"Tucson is known for its desert landscape and vibrant culture.","Tucson, a city in Arizona, is known for its desert landscape and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Fresno,California,United States,542107,fresno,Fresno,US,CA,"Fresno is known for its agricultural industry and vibrant culture.","Fresno, a city in California, is known for its agricultural industry and vibrant cultural scene. It provides numerous coworking spaces and cafes for professionals."
Sacramento,California,United States,524943,sacramento,Sacramento,US,CA,"Sacramento is known for its historic landmarks and vibrant culture.","Sacramento, the capital of California, is known for its historic landmarks and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Kansas City,Missouri,United States,508090,kansas-city,Kansas City,US,MO,"Kansas City is known for its jazz music and vibrant culture.","Kansas City, a city in Missouri, is known for its jazz music and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
Mesa,Arizona,United States,504258,mesa,Mesa,US,AZ,"Mesa is known for its desert landscape and vibrant culture.","Mesa, a city in Arizona, is known for its desert landscape and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Atlanta,Georgia,United States,498715,atlanta,Atlanta,US,GA,"Atlanta is known for its vibrant culture and diverse economy.","Atlanta, the capital of Georgia, is known for its vibrant culture and diverse economy. It provides numerous coworking spaces and cafes for professionals."
Omaha,Nebraska,United States,486051,omaha,Omaha,US,NE,"Omaha is known for its diverse economy and vibrant culture.","Omaha, a city in Nebraska, is known for its diverse economy and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Colorado Springs,Colorado,United States,478961,colorado-springs,Colorado Springs,US,CO,"Colorado Springs is known for its outdoor activities and vibrant culture.","Colorado Springs, a city in Colorado, is known for its outdoor activities and vibrant cultural scene. It provides numerous coworking spaces and cafes for remote workers."
Raleigh,North Carolina,United States,467665,raleigh,Raleigh,US,NC,"Raleigh is known for its diverse economy and vibrant culture.","Raleigh, the capital of North Carolina, is known for its diverse economy and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Long Beach,California,United States,466742,long-beach,Long Beach,US,CA,"Long Beach is known for its beautiful beaches and vibrant culture.","Long Beach, a city in California, is known for its beautiful beaches and vibrant cultural scene. It provides numerous coworking spaces and cafes for professionals."
Virginia Beach,Virginia,United States,459470,virginia-beach,Virginia Beach,US,VA,"Virginia Beach is known for its beautiful beaches and vibrant culture.","Virginia Beach, a city in Virginia, is known for its beautiful beaches and vibrant cultural scene. It offers a variety of coworking spaces and cafes for digital nomads."
Miami,Florida,United States,442241,miami,Miami,US,FL,"Miami is known for its vibrant nightlife and diverse culture.","Miami, a city in Florida, is known for its vibrant nightlife and diverse cultural scene. It provides numerous coworking spaces and cafes for remote workers."
